
Abscisse [ m ]  Sxx [ MPa ]

     0.000       6.518266797E-001
     0.009       5.923740864E-001
     0.017       5.370899439E-001
     0.032       4.335654676E-001
     0.034       4.227156639E-001
     0.034       4.172656238E-001
     0.051       3.083447218E-001
     0.060       2.465192974E-001
     0.067       1.941581666E-001
     0.083       9.011319280E-002
     0.084       8.299900591E-002
     0.084       7.980428636E-002
     0.100      -1.600395516E-002
     0.106      -1.599786989E-002
     0.113      -1.692344435E-002
     0.123      -2.646877989E-002
     0.126      -2.951209992E-002
     0.132      -3.489536047E-002
     0.138      -4.115920141E-002
     0.142      -4.428105056E-002
     0.150      -5.204522237E-002
     0.166      -6.758607179E-002
     0.167      -6.868715584E-002
     0.169      -7.060323656E-002
     0.181      -8.203060180E-002
     0.191      -9.197618067E-002
     0.197      -9.724739194E-002
     0.211      -1.109512076E-001
     0.218      -1.173371822E-001
     0.228      -1.270961910E-001
     0.236      -1.348894835E-001
     0.243      -1.421965957E-001
     0.255      -1.533230841E-001
     0.259      -1.575434059E-001
     0.269      -1.667551398E-001
     0.279      -1.770604402E-001
     0.282      -1.803779602E-001
     0.293      -1.908462197E-001
     0.300      -1.975858212E-001
     0.308      -2.062508017E-001
     0.318      -2.159175724E-001
     0.323      -2.209233493E-001
     0.330      -2.274997234E-001
     0.336      -2.343211323E-001
     0.345      -2.428224236E-001
     0.350      -2.480119765E-001
