
Abscisse [ m ]  Sxx [ MPa ]

     0.000       1.628863335E+000
     0.015       1.353302121E+000
     0.017       1.323029995E+000
     0.018       1.307524204E+000
     0.034       1.022268772E+000
     0.043       8.587169051E-001
     0.050       7.287228107E-001
     0.065       4.662136734E-001
     0.067       4.339651167E-001
     0.068       4.185667038E-001
     0.084       1.471817493E-001
     0.093       1.425614487E-002
     0.100      -9.198339283E-002
     0.112      -5.566399172E-002
     0.113      -5.264317617E-002
     0.117      -5.882354081E-002
     0.124      -7.061605155E-002
     0.128      -7.612447441E-002
     0.137      -9.213257581E-002
     0.145      -1.060887203E-001
     0.148      -1.118701324E-001
     0.156      -1.263009608E-001
     0.166      -1.434675604E-001
     0.173      -1.563130319E-001
     0.181      -1.718863845E-001
     0.187      -1.828161180E-001
     0.200      -2.061524540E-001
     0.207      -2.204650342E-001
     0.220      -2.464639395E-001
     0.225      -2.563005686E-001
     0.239      -2.837889791E-001
     0.241      -2.874387205E-001
     0.248      -3.029810488E-001
     0.256      -3.201392889E-001
     0.258      -3.230836093E-001
     0.262      -3.332737982E-001
     0.272      -3.550280035E-001
     0.276      -3.654795289E-001
     0.286      -3.822644949E-001
     0.292      -4.016565382E-001
     0.303      -4.205495119E-001
     0.308      -4.422100484E-001
     0.322      -5.086883307E-001
     0.323      -5.129778385E-001
     0.324      -5.212247372E-001
     0.336      -7.699166536E-001
     0.340      -7.580521703E-001
     0.350      -1.038221121E+000
